iter	Passed	Remaining
399	69751	333239
400	69958	333220
401	70110	332940
402	70260	332646
403	70424	332423
404	70594	332227
405	70769	332056
406	70901	331687
407	71030	331301
408	71185	331038
409	71368	330905
410	71539	330716
411	71710	330531
412	71910	330472
413	72159	330644
414	72321	330415
415	72549	330485
416	72758	330465
417	72943	330338
418	73130	330222
419	73308	330061
420	73495	329942
421	73701	329910
422	73905	329867
423	74063	329618
424	74261	329546
425	74430	329344
426	74627	329271
427	74893	329494
428	75106	329486
429	75296	329377
430	75478	329231
431	75691	329222
432	75849	328973
433	76049	328903
434	76221	328718
435	76349	328339
436	76489	328011
437	76634	327710
438	76804	327510
439	77091	327814
440	77392	328171
441	77619	328215
442	77838	328222
443	78018	328065
444	78237	328070
445	78437	327994
446	78664	328033
447	78891	328069
448	79067	327893
449	79211	327584
450	79335	327194
451	79496	326955
452	79778	327213
453	79933	326951
454	80135	326884
455	80272	326546
456	80402	326182
457	80522	325781
458	80674	325510
459	80817	325200
460	80963	324907
461	81129	324693
462	81261	324344
463	81545	324598
464	81820	324819
465	82011	324700
466	82207	324606
467	82390	324456
468	82510	324061
469	82652	323752
470	82810	323504
471	82967	323255
472	83112	322963
473	83297	322822
474	83463	322609
475	83650	322477
476	83834	322330
477	83993	322092
478	84141	321810
479	84279	321490
480	84466	321360
481	84655	321235
482	84858	321160
483	85075	321144
484	85295	321132
485	85508	321097
486	85726	321078
487	85950	321080
488	86164	321044
489	86551	321652
490	86792	321717
491	87074	321928
492	87321	322010
493	87644	322368
494	87917	322543
495	88146	322552
496	88373	322556
497	88616	322613
498	88794	322437
499	89061	322579
500	89291	322588
501	89610	322918
502	89911	323179
503	90209	323430
504	90479	323575
505	90704	323560
506	90870	323334
507	91087	323288
508	91300	323229
509	91509	323152
510	91662	322883
511	91845	322713
512	91995	322433
513	92147	322156
514	92317	321947
515	92552	321959
516	92907	322389
517	93151	322433
518	93407	322517
519	93666	322609
520	93935	322733
521	94192	322817
522	94406	322749
523	94636	322740
524	94856	322693
525	95122	322802
526	95463	323162
527	95719	323235
528	95951	323222
529	96082	322874
